"iptProductId","ticketsProductId","usage","scorePercent","status","humanDecision","ignoredFields","note"
"793","1075","BOTH","93","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: přepravné kolo krátkodobé-pouze vlak – 120 min, 1,2,3,4,5,6,7,8,9,10,11,12,13"
"814","1076","BOTH","69","APPROVED_BUSINESS_EXCEPTION","APPROVED","duration","Ručně schváleno. IPT a PIDL/Tickets vyjadřují stejnou platnost rozdílnou konvencí: celých 24+4 h oproti 4 h nad rámec aktuálního dne. Rozdíl duration se proto ignoruje. Pásma 1–13 jsou fakticky použitelná, ale oficiálně je produkt celosíťový; IPT i Tickets mají být datově doplněny na P,0,B,1–13."
"865","1001","BOTH","84","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 15min, 2 pásem"
"867","1002","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 30 min, Praha P,0,B resp. 3"
"868","1003","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 90 min, Praha P,0,B"
"869","1004","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 60 min, 4 pásem"
"870","1005","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 90 min, 5 pásem"
"871","1006","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 120 min, 6 pásem"
"872","1007","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 150 min, 7 pásem"
"873","1008","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 180 min, 8 pásem"
"874","1009","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 180 min, 9 pásem"
"875","1010","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 180 min, 10 pásem"
"876","1011","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 180 min, 11 pásem"
"877","1012","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 180 min, 12 pásem"
"878","1013","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 180 min, 13 pásem"
"879","1014","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 180 min, 14 pásem"
"880","1015","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 180 min, 15 pásem"
"881","1016","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: jednotlivé plnocenné – 180 min, 16 pásem"
"882","1045","BOTH","100","PROPOSED_AUTOMATIC","UNDECIDED","","Candidate: občanské 24hod P,0,B – 24 hod, Praha P,0,B"
"883","","NONE","","EXCLUDED_FROM_UC","EXCLUDED","","Capping produkt nahrazující předchozí jízdenku při denním zastropování ceny. Nebude nabízen ve vyhledávání, je mimo rozsah #1007/#1008 a nevstupuje do seedu."
